word,TSNE_1,TSNE_2,cluster
given,-4.163802,3.898871,1
problem,-3.6416285,-5.9639387,0
year,-11.427616,6.4846773,1
three,-9.734883,8.694275,1
yet,-0.44530332,4.055204,4
especially,12.328937,-5.330075,2
short,-5.2370315,10.069771,4
american,-5.7274823,7.12872,1
sort,8.889697,4.049119,2
dvd,-8.472821,-11.910994,3
home,-9.9811,-0.9376122,1
annoying,15.613175,2.9495373,2
house,-11.149732,-0.9452387,1
seem,6.128924,3.9472673,2
next,-11.297286,4.682717,1
read,6.9691324,-3.6203787,2
fun,12.672727,3.912595,2
worth,-2.997296,-3.8905327,0
death,3.1774974,9.358356,4
line,-14.815193,5.9182563,1
version,-10.964598,-9.854707,3
nice,12.182572,5.459434,2
name,-4.3114758,5.007588,1
played,-12.419674,-5.380555,1
unfortunately,4.6877966,2.61858,2
title,-8.47716,7.0438285,1
used,-3.7576075,0.7886085,1
job,5.775694,-7.6864643,0
friends,3.4183698,0.33850443,0
dialogue,-4.9941473,-4.339641,0
seeing,4.44918,1.1076982,0
different,-2.5972846,1.9149189,1
rest,-5.6759033,0.1326165,1
tell,6.4919252,-2.335149,2
play,-12.405898,-5.380842,1
stars,-4.08318,-17.137966,3
takes,-1.1161003,-7.3395767,0
production,3.8515384,-10.227476,0
fan,0.8863487,2.5795646,4
yes,9.917949,-1.9439071,2
true,5.512981,6.1371446,4
later,-5.509518,4.7968097,1
together,-4.3942847,-0.9397813,1
shows,-4.079737,-11.730708,3
top,-13.614254,0.6411224,1
decent,13.765082,6.5151424,2
school,-8.765013,12.615287,1
care,7.000956,-7.9672294,0
went,-9.192673,-1.8759516,1
