word,PCA_1,PCA_2,cluster
annoying,-1.6225843,-2.0744922,4
house,0.99027616,0.95734024,3
seem,-1.6518644,-0.36318254,4
next,1.0175205,1.5791569,3
read,-0.3181386,-0.7872267,1
fun,-1.4802936,-2.0952523,4
worth,0.17923142,0.6792748,0
death,1.1172001,0.43231872,3
line,0.9298336,0.7523433,3
version,2.0794067,-1.6401691,2
nice,-1.6975994,-0.7629767,4
name,1.113884,-0.18500578,1
played,1.5540172,-0.50937426,1
unfortunately,-1.0315477,-0.4387279,4
title,1.7486103,-0.31946602,1
used,1.1471754,0.65399307,3
job,-0.5132181,0.71697074,0
friends,-0.2238835,-0.6907306,1
dialogue,0.13813587,-0.6854126,1
seeing,-1.016167,-0.4899405,4
different,0.41492885,-0.09330984,1
rest,0.07851964,1.0101864,0
tell,-1.9442862,-0.43281886,4
play,0.5264773,-0.17689624,1
stars,1.6340431,-1.9226149,2
takes,0.15298091,0.011484589,1
production,2.189295,-0.26556137,1
fan,0.37791914,-1.1141461,1
yes,-1.672123,-0.6489413,4
true,-0.8297811,-0.7197391,4
later,2.0664487,0.85870814,3
together,0.43771562,0.29852563,1
shows,1.1657348,-1.2800988,1
top,1.660148,1.2974231,3
decent,-1.4794354,-0.75651455,4
school,1.5224445,0.73069865,3
care,-0.6079128,1.0103433,0
went,0.7710424,0.96177137,3
